Pixel	Intensity
381	31.009263
382	31.685385
383	31.671008
384	30.349717
385	28.514825
386	26.538950
387	26.954072
388	27.482242
389	27.575879
390	27.754810
391	28.581197
392	25.906655
393	25.783011
394	23.926993
395	23.773910
396	24.390215
397	25.316966
398	22.968459
399	20.992516
400	19.847557
401	20.255517
402	19.788595
403	21.664271
404	20.372470
405	17.782961
406	15.808222
407	15.613177
408	15.023199
409	14.621127
410	14.846344
411	14.909818
412	14.540848
413	14.078172
414	11.954834
415	11.401766
416	11.923828
417	11.900988
418	11.636906
419	11.909363
420	11.707816
421	9.823139
422	10.975859
423	11.080700
424	10.407087
425	9.041099
426	9.117066
427	8.540244
428	8.226402
429	8.329908
430	8.483745
431	8.269053
432	7.860585
433	8.445621
434	7.745905
435	7.254295
436	8.003802
437	7.799249
438	7.146851
439	7.498667
440	7.461580
441	7.183059
442	7.908801
443	7.986682
444	7.963470
445	8.389523
446	7.937308
447	6.797242
448	6.633158
449	6.131992
450	5.544838
451	5.697182
452	6.229507
453	6.056308
454	5.152562
455	5.201266
456	4.507449
457	3.906452
458	4.468675
459	3.983565
460	3.793539
461	4.879601
462	5.029760
463	5.374106
464	5.632300
465	4.588902
466	4.014453
467	4.209973
468	4.535514
469	6.057205
470	6.339558
471	5.286874
472	5.233472
473	5.972785
474	5.703587
475	6.224272
476	7.278282
477	7.016593
478	6.188482
479	6.584354
480	5.278215
481	6.528561
482	7.032483
483	7.983061
484	8.280314
485	9.653920
486	10.768778
487	11.070458
488	11.723768
489	13.648781
490	12.512972
491	10.571259
492	11.185628
493	11.213179
494	11.927853
495	12.183267
496	12.282443
497	11.905672
498	11.956655
499	11.117115
