Pixel	Intensity
336	2702.310509
337	2593.151247
338	2476.894540
339	2305.707577
340	2089.653370
341	1955.260886
342	1823.017870
343	1790.926401
344	1770.543115
345	1717.313055
346	1677.697769
347	1673.141000
348	1602.381493
349	1551.799420
350	1474.742543
351	1439.628208
352	1442.854385
353	1451.050853
354	1424.609982
355	1386.572013
356	1373.398912
357	1326.506839
358	1246.153865
359	1248.454055
360	1283.118424
361	1256.706507
362	1226.353199
363	1152.484719
364	1131.021921
365	1146.867593
366	1075.096030
367	1025.450840
368	1018.076702
369	967.230713
370	962.220454
371	1010.529173
372	1004.509486
373	967.627122
374	957.967559
375	881.729112
376	842.651159
377	845.715815
378	760.348774
379	711.695397
380	665.019727
381	647.984250
382	666.140692
383	651.123649
384	643.390850
385	672.389336
386	642.644898
387	637.294694
388	627.637212
389	631.570906
390	636.616103
391	640.592267
392	614.373885
393	630.961957
394	602.462437
395	570.300725
396	576.576450
397	552.300684
398	510.621944
399	490.704323
400	450.408119
401	440.637430
402	452.794293
403	455.084502
404	442.217969
405	447.172520
406	386.134937
407	344.649932
408	333.333421
409	348.688883
410	372.903061
411	297.211860
412	288.267856
413	270.541252
414	247.613721
415	258.501604
416	287.834966
417	316.092057
418	300.153487
419	283.843560
420	267.526437
421	247.671136
422	231.087864
423	248.255198
424	286.375846
425	273.494544
426	230.992627
427	195.154558
428	182.767641
429	184.044191
430	190.645704
431	182.727227
432	198.435632
433	174.755607
434	180.583522
435	139.993772
436	133.814302
437	142.454510
438	164.591518
439	164.122854
440	157.549210
441	199.546074
442	216.491878
443	209.448694
444	206.537287
445	162.490346
446	145.925193
447	151.445986
448	130.475794
449	130.363482
450	138.554505
451	155.252369
452	135.413177
453	130.473739
454	106.279045
455	96.554755
456	88.674305
457	104.644945
458	100.426462
459	91.372256
460	106.787102
461	125.878147
462	148.287227
463	149.605569
464	120.752691
465	107.803905
466	102.257394
467	99.232659
468	93.424334
469	93.869699
470	116.977424
471	139.831994
472	138.070111
473	127.816071
474	131.612632
475	173.342243
476	161.063083
477	158.599023
478	169.986374
479	148.317962
480	162.568657
481	154.345425
482	192.059848
483	187.901252
484	175.134775
485	220.237918
486	249.142031
487	233.737191
488	256.145516
489	253.132854
490	231.004363
491	213.156741
492	210.188943
493	237.877462
494	250.498737
495	260.017549
496	283.095004
497	287.989969
498	292.995027
499	240.535479
